"","Vertex1","Vertex2"
"1","glenn frey","don henley"
"2","steve winwood","bruce hornsby"
"3","eddie money","glenn frey"
"4","bruce hornsby","robert palmer"
"5","jefferson starship","mike + the mechanics"
"6","john mellencamp","jefferson starship"
"7","jackson browne","eddie money"
"8","rick springfield","little river band"
"9","little river band","mr. mister"
"10","38 special","ambrosia"
"11","reo speedwagon","boz scaggs"
"12","mr. mister","rick springfield"
"13","joe walsh","jackson browne"
"14","loverboy","38 special"
"15","steve perry","glass tiger"
"16","firefall","wang chung"
"17","mike + the mechanics","atlanta rhythm section"
"18","the doobie brothers","christopher cross"
"19","don henley","shawn mullins"
"20","glenn frey","jackson browne"
"21","robert palmer","don henley"
"22","huey lewis & the news","joan osborne"
"23","mike + the mechanics","james taylor"
"24","jefferson starship","melissa etheridge"
"25","eddie money","joshua kadison"
"26","little river band","bonnie raitt"
"27","mr. mister","shawn colvin"
"28","ambrosia","natalie merchant"
"29","boz scaggs","sheryl crow"
"30","the j. geils band","jennifer warnes"
"31","rick springfield","amanda marshall"
"32","jackson browne","carole king"
"33","38 special","tracy chapman"
"34","glass tiger","van morrison"
"35","wang chung","bruce springsteen"
"36","atlanta rhythm section","billy joel"
"37","christopher cross","carly simon"
"38","shawn mullins","don henley"
"39","bruce hornsby","mr. mister"
"40","jackson browne","cutting crew"
"41","don henley","steve perry"
"42","joan osborne","rick springfield"
"43","james taylor","paul davis"
"44","melissa etheridge","eric carmen"
"45","joshua kadison","steve winwood"
"46","bonnie raitt","corey hart"
"47","shawn colvin","glass tiger"
"48","natalie merchant","peter cetera"
"49","sheryl crow","paul carrack"
"50","jennifer warnes","quarterflash"
"51","amanda marshall","daryl hall"
"52","carole king","starship"
"53","tracy chapman","john waite"
"54","van morrison","lou gramm"
"55","bruce springsteen","christopher cross"
"56","billy joel","sheena easton"
"57","carly simon","ambrosia"
"58","don henley","cutting crew"
"59","mr. mister","corey hart"
"60","cutting crew","john parr"
"61","steve perry","starship"
"62","rick springfield","mike + the mechanics"
"63","paul davis","wang chung"
"64","eric carmen","john waite"
"65","steve winwood","go west"
"66","corey hart","johnny hates jazz"
"67","glass tiger","glenn frey"
"68","peter cetera","rick springfield"
"69","paul carrack","glass tiger"
"70","quarterflash","richard marx"
"71","daryl hall","steve perry"
"72","starship","the power station"
"73","john waite","lou gramm"
"74","lou gramm","paul young"
"75","christopher cross","huey lewis & the news"
"76","sheena easton","kim carnes"
"77","ambrosia","nik kershaw"
"78","cutting crew","mr. mister"
"79","corey hart","cutting crew"
"80","john parr","paul carrack"
"81","starship","paul young"
"82","mike + the mechanics","richard marx"
"83","wang chung","johnny hates jazz"
"84","john waite","robert palmer"
"85","go west","steve winwood"
"86","johnny hates jazz","nik kershaw"
"87","glenn frey","level 42"
"88","rick springfield","the hooters"
"89","richard marx","don henley"
"90","steve perry","chris de burgh"
"91","the power station","cock robin"
"92","lou gramm","go west"
"93","paul young","starship"
"94","huey lewis & the news","fine young cannibals"
"95","kim carnes","bruce hornsby"
"96","nik kershaw","glass tiger"
"97","mr. mister","james taylor"
"98","cutting crew","crosby, stills & nash"
"99","paul carrack","poco"
"100","paul young","loggins & messina"
"101","johnny hates jazz","warren zevon"
"102","robert palmer","dan fogelberg"
"103","steve winwood","jim croce"
"104","nik kershaw","gordon lightfoot"
"105","level 42","pure prairie league"
"106","the hooters","seals and crofts"
"107","glenn frey","firefall"
"108","don henley","dave mason"
"109","chris de burgh","boz scaggs"
"110","cock robin","bruce hornsby"
"111","go west","van morrison"
"112","starship","steve winwood"
"113","fine young cannibals","jefferson starship"
"114","bruce hornsby","little river band"
"115","glass tiger","stephen stills"
"116","james taylor","christine mcvie"
"117","crosby, stills & nash","pete townshend"
"118","poco","warren zevon"
"119","loggins & messina","bruce hornsby"
"120","don henley","glenn frey"
"121","warren zevon","don henley"
"122","dan fogelberg","jackson browne"
"123","jim croce","steve winwood"
"124","gordon lightfoot","bob welch"
"125","pure prairie league","al stewart"
"126","seals and crofts","jefferson starship"
"127","firefall","traveling wilburys"
"128","dave mason","jeff lynne"
"129","boz scaggs","julian lennon"
"130","bruce hornsby","boz scaggs"
"131","van morrison","todd rundgren"
"132","steve winwood","joe walsh"
"133","jefferson starship","robert plant"
"134","little river band","pretenders"
"135","stephen stills","mudcrutch"
"136","christine mcvie","lou gramm"
"137","pete townshend","john waite"
"138","warren zevon","rick springfield"
"139","bruce hornsby","loverboy"
"140","glenn frey","quarterflash"
"141","don henley","mr. mister"
"142","jackson browne","glass tiger"
"143","steve winwood","glenn frey"
"144","bob welch","corey hart"
"145","al stewart","eddie money"
"146","jefferson starship","cutting crew"
"147","traveling wilburys","reo speedwagon"
"148","jeff lynne","night ranger"
"149","julian lennon","38 special"
"150","boz scaggs","jefferson starship"
"151","todd rundgren","starship"
"152","joe walsh","don henley"
"153","robert plant","the babys"
"154","pretenders","john parr"
"155","mudcrutch","huey lewis & the news"
"156","lou gramm","head east"
"157","john waite","gary wright"
"158","rick springfield","firefall"
"159","loverboy","little river band"
"160","quarterflash","atlanta rhythm section"
"161","mr. mister","ambrosia"
"162","glass tiger","the babys"
"163","glenn frey","the j. geils band"
"164","corey hart","bob welch"
"165","eddie money","pablo cruise"
"166","cutting crew","joe walsh"
"167","reo speedwagon","eddie money"
"168","night ranger","loverboy"
"169","jefferson starship","poco"
"170","starship","orleans"
"171","don henley","pure prairie league"
"172","the babys","three dog night"
"173","john parr","paul davis"
"174","huey lewis & the news","bachman-turner overdrive"
"175","head east","loverboy"
"176","gary wright","billy squier"
"177","firefall","38 special"
"178","little river band","the j. geils band"
"179","atlanta rhythm section","rick springfield"
"180","ambrosia","reo speedwagon"
"181","the babys","don henley"
"182","the j. geils band","jefferson starship"
"183","bob welch","huey lewis & the news"
