"","Id","name","popularity","followers","profile","images","genre"
"1",1,"Glenn Frey",58,535250,"https://open.spotify.com/artist/3vMWY1bUrmYoSoEWLiQWOZ","https://i.scdn.co/image/ab676161000051741e869d920d97389beb490b43","album rock"
"2",2,"Steve Winwood",62,933034,"https://open.spotify.com/artist/5gxynDEKwNDgxGJmJjZyte","https://i.scdn.co/image/1bd7316c847371039652c7bf59335083af10d56e","art rock"
"3",3,"Eddie Money",60,777115,"https://open.spotify.com/artist/4Tw2N3wdvJPGEU7JqMxFfE","https://i.scdn.co/image/ab6761610000517459808090fb17e636132b0d2a","classic rock"
"4",4,"Bruce Hornsby",57,349082,"https://open.spotify.com/artist/2iM28IgKg89v1o7BTQAVPo","https://i.scdn.co/image/ab67616100005174ede2122c4ca030de3a67f3ad","classic rock"
"5",5,"Huey Lewis & The News",65,1395388,"https://open.spotify.com/artist/7A9yZMTrFZcgEWAX2kBfK6","https://i.scdn.co/image/ab676161000051748dfb95eb4902b28206963614","classic rock"
"6",6,"Jefferson Starship",52,883933,"https://open.spotify.com/artist/3HC7NcxQx2Yk0fWoRKJ0xF","https://i.scdn.co/image/ab676161000051740a7ad2d086997db5d77d8e47","art rock"
"7",7,"John Mellencamp",67,1478383,"https://open.spotify.com/artist/3lPQ2Fk5JOwGWAF3ORFCqH","https://i.scdn.co/image/ab6761610000517439cf2e0c338c08d5b8350053","classic rock"
"8",8,"Jackson Browne",65,1180057,"https://open.spotify.com/artist/5lkiCO9UQ8B23dZ1o0UV4m","https://i.scdn.co/image/ab6761610000517400b0bd0385952164fd4a5710","classic rock"
"9",9,"Rick Springfield",61,728056,"https://open.spotify.com/artist/6IFXsrXBpwbIqtOUOiAa3p","https://i.scdn.co/image/ab676161000051745cc5140fd4e3342f3a6d25ff","australian rock"
"10",10,"Little River Band",59,1041957,"https://open.spotify.com/artist/6clbbhnIqpHnqxwtOWcilg","https://i.scdn.co/image/ab676161000051748d20c06dc6316ee8d35b351e","art rock"
"11",11,"38 Special",60,1072366,"https://open.spotify.com/artist/3zXw2Eh96iTT51pytzHdZi","https://i.scdn.co/image/30b95555f6ada5b6ad259d865e5bbf791534999b","classic rock"
"12",12,"REO Speedwagon",66,2195614,"https://open.spotify.com/artist/55vs7NT1KxcFjbMC4y202E","https://i.scdn.co/image/ab67616100005174fc5a03aa1823cfbe08b8b2ed","classic rock"
"13",13,"The J. Geils Band",59,743630,"https://open.spotify.com/artist/69Mj3u4FTUrpyeGNSIaU6F","https://i.scdn.co/image/43d20bdb99de92558563c95a365c92ab8b1f81a6","art rock"
"14",14,"Mr. Mister",58,486765,"https://open.spotify.com/artist/7Bah8E0kCETqEpAHI6CPzQ","https://i.scdn.co/image/92309a20e867ae475181debd2b3bf2e2ce8e8d2c","mellow gold"
"15",15,"Joe Walsh",58,1116610,"https://open.spotify.com/artist/5bDxAyJiTYBat1YnFJhvEK","https://i.scdn.co/image/eafdd5b0d74bebaa1fc64591e050039d6a9debec","blues rock"
"16",16,"Loverboy",57,782631,"https://open.spotify.com/artist/2CLVPk9FcywjClBcTvWPkT","https://i.scdn.co/image/ab6761610000517402a7fb52455eea92035311dc","classic canadian rock"
"17",17,"Steve Perry",59,549948,"https://open.spotify.com/artist/5xQKoGD7Ql92fWd1uWwKkf","https://i.scdn.co/image/ab6761610000517474b5ad3c74225ab1c7b31665","mellow gold"
"18",18,"Firefall",48,190398,"https://open.spotify.com/artist/1tfXh4XxILEuMU2qZupFn8","https://i.scdn.co/image/ab6761610000517430adcaa6c2679f09255fffa6","classic rock"
"19",19,"Mike + The Mechanics",60,601496,"https://open.spotify.com/artist/2yTUYhIf8fxptTIy3KLuJD","https://i.scdn.co/image/a6e2554ee5d46ddbfc3095ded51958cccfb0e766","art rock"
"20",20,"The Doobie Brothers",69,2169508,"https://open.spotify.com/artist/39T6qqI0jDtSWWioX8eGJz","https://i.scdn.co/image/ab6761610000517468a38c02f356fae44e7dd63b","art rock"
"21",21,"Don Henley",65,1396135,"https://open.spotify.com/artist/5dbuFbrHa1SJlQhQX9OUJ2","https://i.scdn.co/image/6318212047d0b26c06f21149e525257e8a161651","art rock"
